DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SO	NE	Advanced Materials	doktorský	Advanced Materials and Nanosciences	Masarykova univerzita	Přírodovědecká fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	Advanced Materials	doktorský	Advanced Materials and Nanosciences	Vysoké učení technické v Brně	Celoškolská pracoviště	3, 1		4	angličtina												Jihomoravský	31.12.2024
SP	ANO	Advanced Materials and Nanosciences	doktorský	Advanced Materials and Nanosciences	Vysoké učení technické v Brně	Celoškolská pracoviště	3, 1	0588	4	angličtina		Fyzika	40	Chemie 	30	Strojírenství, technologie a materiály	30		0		0	Jihomoravský	1.5.2031
SO	NE	Advanced Nanotechnologies and Microtechnologies	doktorský	Advanced Materials and Nanosciences	Masarykova univerzita	Přírodovědecká fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	Advanced Nanotechnologies and Microtechnologies	doktorský	Advanced Materials and Nanosciences	Vysoké učení technické v Brně	Celoškolská pracoviště	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	Advanced Powertrains	navazující magisterský	Master of Automotive Engineering	České vysoké učení technické v Praze	Fakulta strojní	1		2	angličtina												Praha	31.12.2024
SO	NE	Advanced Powertrains	navazující magisterský	Master of Automotive Engineering	České vysoké učení technické v Praze	Fakulta strojní	1		2	angličtina												Praha	31.12.2024
SO	NE	Advanced Security Technologies	navazující magisterský	Computer Science and Engineering, Engineering Informatics	Univerzita Tomáše Bati ve Zlíně	Fakulta aplikované informatiky	1		2	angličtina												Zlínský	31.12.2024
SP	ANO	Aeronautical and Space Engineering	doktorský	Aeronautical and Space Engineering	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0716	4	angličtina		Elektrotechnika 	40	Informatika	40	Doprava	20					Praha	4.6.2029
SO	NE	Aeronautical Traffic	navazující magisterský	Mechanical engineering	Vysoké učení technické v Brně	Fakulta strojního inženýrství	1	1041	2	angličtina												Jihomoravský	31.12.2024
SO	NE	Aeronautical Traffic	navazující magisterský	Mechanical engineering	Vysoké učení technické v Brně	Fakulta strojního inženýrství	3	1041	2	angličtina												Jihomoravský	31.12.2024
SP	ANO	Aeropace Engineering	navazující magisterský	Aeropace Engineering	České vysoké učení technické v Praze	Fakulta strojní	1	0716	2	čeština	akademicky zaměřený	Strojírenství, technologie a materiály	100		0		0		0		0	Praha	4.2.2033
SO	NE	Aerospace Systems	navazující magisterský	Cybernetics and Robotics	České vysoké učení technické v Praze	Fakulta elektrotechnická	1	0716	2	angličtina												Praha	31.12.2024
SP	ANO	Aerospace Technology	navazující magisterský	Aerospace Technology	Vysoké učení technické v Brně	Fakulta strojního inženýrství	1	0716	2	angličtina	akademicky zaměřený	Strojírenství, technologie a materiály	100		0		0		0		0	Jihomoravský	18.2.2030
SP	ANO	Aesthetics	doktorský	Aesthetics	Univerzita Karlova	Filozofická fakulta	3, 1	0213	4	angličtina		Vědy o umění a kultuře	100		0		0					Praha	21.9.2028
SP	ANO	Aesthetics and Culture Studies	doktorský	Aesthetics and Culture Studies	Masarykova univerzita	Filozofická fakulta	3, 1	0223	4	angličtina		Vědy o umění a kultuře	100		0		0		0		0	Jihomoravský	14.1.2024
SO	NE	African Studies	doktorský	Politology, Political Science	Univerzita Hradec Králové	Filozofická fakulta	3, 1	0312	4	angličtina												Královéhradecký	31.12.2024
SO	NE	Africká studia	doktorský	Politologie	Univerzita Hradec Králové	Filozofická fakulta	3, 1	0312	4	čeština												Královéhradecký	31.12.2024
SO	NE	Agricultural and Forestry Phytopathology and Plant Protection	doktorský	Agricultural Specialization	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0811	4	angličtina												Praha	31.12.2024
SO	NE	Agricultural and Forestry Phytopathology and Plant Protection	doktorský	Agricultural Specialization	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0811	4	angličtina												Praha	31.12.2024
SO	NE	Agricultural Engineering	bakalářský	Agricultural Engineering	Česká zemědělská univerzita v Praze	Technická fakulta	1		3	angličtina												Praha	31.12.2024
SO	NE	Agricultural Engineering	navazující magisterský	Agricultural Specialization	Mendelova univerzita v Brně	Agronomická fakulta	1	0811	2	angličtina												Jihomoravský	31.12.2024
SP	ANO	Agricultural Engineering	bakalářský	Agricultural Engineering	Česká zemědělská univerzita v Praze	Technická fakulta	1	0811	3	angličtina	akademicky zaměřený	Zemědělství	100		0		0					Praha	28.1.2024
SP	ANO	Agricultural Engineering	navazující magisterský	Agricultural Engineering	Česká zemědělská univerzita v Praze	Technická fakulta	1	0811	2	angličtina	akademicky zaměřený	Zemědělství	100		0		0					Praha	28.1.2024
SO	NE	Agricultural Chemistry	doktorský	Agricultural Specialization	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Agricultural Chemistry	doktorský	Agricultural Specialization	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	Agricultural Chemistry	doktorský	Chemistry	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0531	3	angličtina												Jihomoravský	31.12.2024
SO	NE	Agricultural Chemistry	doktorský	Chemistry	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0531	3	angličtina												Jihomoravský	31.12.2024
