DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SO	NE	General and Comparative Literature	doktorský	Philology, Filologija	Univerzita Karlova	Filozofická fakulta	3, 1	0231	4	angličtina												Praha	31.12.2024
SP	ANO	General and Comparative Literature	doktorský	General and Comparative Literature	Univerzita Karlova	Filozofická fakulta	3, 1	0232	4	angličtina		Filologie	100		0		0		0		0	Praha	25.11.2030
SO	NE	General and Molecular Genetics	doktorský	Biology	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0511	4	angličtina												Jihomoravský	31.12.2024
SO	NE	General Animal Breeding	doktorský	Animal Science, Animal Breeding	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0811	3	angličtina												Jihomoravský	31.12.2024
SO	NE	General Animal Breeding	doktorský	Animal Science, Animal Breeding	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0811	4	angličtina												Jihomoravský	31.12.2024
SO	NE	General Animal Science	doktorský	Animal Science, Animal Breeding	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0811	4	angličtina												Praha	31.12.2024
SO	NE	General Animal Science	doktorský	Animal Science, Animal Breeding	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0811	4	angličtina												Praha	31.12.2024
SO	NE	General Anthropology	doktorský	Humanities, Humanities Studies	Univerzita Karlova	Fakulta humanitních studií	3, 1		3	angličtina												Praha	31.12.2024
SO	NE	General Anthropology	doktorský	Humanities, Humanities Studies	Univerzita Karlova	Fakulta humanitních studií	3, 1		3	angličtina												Praha	31.12.2024
SO	NE	General Anthropology	doktorský	Humanities, Humanities Studies	Univerzita Karlova	Fakulta humanitních studií	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	General Anthropology (jednooborové)	navazující magisterský	Humanities	Univerzita Karlova	Fakulta humanitních studií	1	0288	2	angličtina												Praha	31.12.2024
SP	ANO	General Antropology	doktorský	General Antropology	Univerzita Karlova	Fakulta humanitních studií	3, 1	0314	4	angličtina		Biologie, ekologie a životní prostředí	25	Filozofie, religionistika a teologie	25	Historické vědy	25					Praha	20.6.2028
SO	NE	General Computer Science (jednooborové)	bakalářský	Informatics, Computer Science	Univerzita Karlova	Matematicko-fyzikální fakulta	1	0613	3	angličtina												Praha	31.12.2024
SO	NE	General Crop Science	doktorský	Crop Science	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0811	4	angličtina												Praha	31.12.2024
SP	ANO	General Geography	doktorský	General Geography	Univerzita Karlova	Přírodovědecká fakulta	3, 1	0532	4	angličtina		Vědy o Zemi 	100		0		0		0		0	Praha	23.10.2029
SP	NE	General Issues in Geography	doktorský	General Issues in Geography	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	General Linguistics	doktorský	Philology, Filologija	Univerzita Karlova	Filozofická fakulta	3, 1	0232	3	angličtina												Praha	31.12.2024
SP	ANO	General Linguistics	doktorský	General Linguistics	Univerzita Karlova	Filozofická fakulta	3, 1	0232	4	angličtina		Filologie	100		0		0					Praha	21.9.2028
SP	ANO	General Mathematics	bakalářský	General Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	1	0541	3	angličtina	akademicky zaměřený	Matematika	100		0		0					Praha	20.6.2028
SO	NE	General Mathematics (jednooborové)	bakalářský	Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	1	0541	3	angličtina												Praha	31.12.2024
SO	NE	General Medicine	magisterský	Všeobecné lékařství	Masarykova univerzita	Lékařská fakulta	1	0912	6	angličtina												Jihomoravský	27.2.2025
SO	NE	General Medicine	magisterský	Všeobecné lékařství	Ostravská univerzita	Lékařská fakulta	1	0912	6	angličtina												Moravskoslezský	31.12.2024
SO	NE	General Medicine	magisterský	Všeobecné lékařství	Univerzita Palackého v Olomouci	Lékařská fakulta	1	0912	6	angličtina												Olomoucký	1.5.2025
SP	NE	General Medicine	magisterský	General Medicine	Univerzita Karlova	1. lékařská fakulta	1		6	angličtina												Praha	31.12.2024
SP	NE	General Medicine	magisterský	General Medicine	Univerzita Karlova	2. lékařská fakulta	1		6	angličtina												Praha	31.12.2024
SP	NE	General Medicine	magisterský	General Medicine	Univerzita Karlova	3. lékařská fakulta	1		6	angličtina												Praha	31.12.2024
SP	NE	General Medicine	magisterský	General Medicine	Univerzita Karlova	Lékařská fakulta v Hradci Králové	1		6	angličtina												Praha	31.12.2024
SP	NE	General Medicine	magisterský	General Medicine	Univerzita Karlova	Lékařská fakulta v Plzni	1		6	angličtina												Praha	31.12.2024
SP	ANO	General Medicine	magisterský	General Medicine	Masarykova univerzita	Lékařská fakulta	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0					Jihomoravský	18.3.2029
SP	ANO	General Medicine	magisterský	General Medicine	Ostravská univerzita	Lékařská fakulta	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Moravskoslezský	1.5.2026
SP	ANO	General Medicine	magisterský	General Medicine	Univerzita Karlova	1. lékařská fakulta	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Praha	26.2.2030
SP	ANO	General Medicine	magisterský	General Medicine	Univerzita Karlova	2. lékařská fakulta	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Praha	1.9.2030
SP	ANO	General Medicine	magisterský	General Medicine	Univerzita Karlova	3. lékařská fakulta	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Praha	27.5.2030
SP	ANO	General Medicine	magisterský	General Medicine	Univerzita Karlova	Lékařská fakulta v Hradci Králové	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Praha	27.5.2030
SP	ANO	General Medicine	magisterský	General Medicine	Univerzita Karlova	Lékařská fakulta v Plzni	1	0912	6	angličtina	akademicky zaměřený	Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Praha	26.2.2030
SO	NE	General Nurse	bakalářský	Nursing	Ostravská univerzita	Lékařská fakulta	3, 1	0913	3	angličtina												Moravskoslezský	31.12.2024
SO	NE	General Physics	doktorský	Physics	Masarykova univerzita	Přírodovědecká fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	General Physics (jednooborové)	bakalářský	Physics	Univerzita Karlova	Matematicko-fyzikální fakulta	1	0533	3	angličtina												Praha	31.12.2024
SO	NE	General Physics and Mathematical Physics	doktorský	Physics	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1		4	angličtina												Olomoucký	31.12.2024
SO	NE	General Plant Production	doktorský	Crop Science	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0811	3	angličtina												Jihomoravský	31.12.2024
SO	NE	General Plant Production	doktorský	Plant Production	Mendelova univerzita v Brně	Agronomická fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	General Problems of Mathematics	doktorský	Mathematics	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0541	4	angličtina												Jihomoravský	31.12.2024
SO	NE	General psychology	doktorský	Psychologie (čtyřleté)	Masarykova univerzita	Fakulta sociálních studií	3, 1	0313	4	angličtina												Jihomoravský	31.12.2024
SP	ANO	General Questions of Mathematics and Computer Science	doktorský	General Questions of Mathematics and Computer Science	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0541	4	angličtina		Matematika	50	Informatika	25	Učitelství 	25					Praha	28.11.2023
SO	NE	General Questions of Mathematics and Information Science	doktorský	Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	angličtina												Praha	31.12.2024
SO	NE	General Questions of Mathematics and Information Science	doktorský	Mathematics	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0541	4	angličtina												Praha	31.12.2024
SP	ANO	Genetics, Breeding and Animal Reproduction	doktorský	Genetics, Breeding and Animal Reproduction	Veterinární univerzita Brno	Fakulta veterinárního lékařství	3, 1	0841	4	angličtina		Veterinární lékařství, veterinární hygiena 	100		0		0		0		0	Jihomoravský	31.12.2028
SP	ANO	Genetics, Molecular Biology and Virology	navazující magisterský	Genetics, Molecular Biology and Virology	Univerzita Karlova	Přírodovědecká fakulta	1	0511	2	angličtina	akademicky zaměřený	Biologie, ekologie a životní prostředí	100		0		0		0		0	Praha	26.8.2029
SO	NE	Genetics, Molekular Biology and Virology (jednooborové)	navazující magisterský	Biology	Univerzita Karlova	Přírodovědecká fakulta	1	0511	2	angličtina												Praha	31.12.2024
SO	NE	Genetika a plemenitba zvířat	doktorský	Veterinární lékařství	Veterinární univerzita Brno	Fakulta veterinárního lékařství	3, 1	0841	4	čeština												Jihomoravský	31.12.2024
SO	NE	Genetika a plemenitba zvířat	doktorský	Veterinární lékařství	Veterinární univerzita Brno	Fakulta veterinárního lékařství	3, 1	0841	4	čeština												Jihomoravský	31.12.2024
SP	ANO	Genetika, molekulární biologie a virologie	navazující magisterský	Genetika, molekulární biologie a virologie	Univerzita Karlova	Přírodovědecká fakulta	1	0511	2	čeština	akademicky zaměřený	Biologie, ekologie a životní prostředí	100		0		0		0		0	Praha	26.8.2029
SO	NE	Genetika, molekulární biologie a virologie (jednooborové)	navazující magisterský	Biologie	Univerzita Karlova	Přírodovědecká fakulta	1	0511	2	čeština												Praha	31.12.2024
SP	ANO	Genetika, plemenitba a reprodukce zvířat	doktorský	Genetika, plemenitba a reprodukce zvířat	Veterinární univerzita Brno	Fakulta veterinárního lékařství	3, 1	0841	4	čeština		Veterinární lékařství, veterinární hygiena 	100		0		0		0		0	Jihomoravský	31.12.2028
SO	NE	Genomics and Proteomics	doktorský	Biology	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0511	4	angličtina												Jihomoravský	31.12.2024
SO	NE	Genomics and Proteomics	doktorský	Biology	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0511	4	angličtina												Jihomoravský	31.12.2024
SO	NE	Genomics and Proteomics	navazující magisterský	Biochemistry	Masarykova univerzita	Přírodovědecká fakulta	1	0512	2	angličtina												Jihomoravský	31.12.2024
SP	ANO	Genomics and Proteomics	doktorský	Genomics and Proteomics	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0512	4	angličtina		Biologie, ekologie a životní prostředí	33	Chemie 	33	Informatika	33		0		0	Jihomoravský	15.4.2029
SO	NE	Genomika a proteomika	doktorský	Biologie (čtyřleté)	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0511	4	čeština												Jihomoravský	31.12.2024
SO	NE	Genomika a proteomika	navazující magisterský	Biochemie	Masarykova univerzita	Přírodovědecká fakulta	1	0512	2	čeština												Jihomoravský	31.12.2024
SO	NE	Genomika a proteomika	doktorský	Biochemie (čtyřletá)	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0512	4	čeština												Jihomoravský	31.12.2024
SP	ANO	Genomika a proteomika	doktorský	Genomika a proteomika	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0512	4	čeština		Biologie, ekologie a životní prostředí	33	Chemie 	33	Informatika	33		0		0	Jihomoravský	15.4.2029
SP	ANO	Geobiologie	navazující magisterský	Geobiologie	Univerzita Karlova	Přírodovědecká fakulta	1	0532	2	čeština	akademicky zaměřený	Vědy o Zemi 	51	Biologie, ekologie a životní prostředí	49		0					Praha	16.7.2028
SO	NE	Geobiologie (jednooborové)	navazující magisterský	Geologie	Univerzita Karlova	Přírodovědecká fakulta	1	0532	2	čeština												Praha	31.12.2024
SO	NE	Geodesy and Cartography	doktorský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	3, 1	0731	4	angličtina												Praha	31.12.2024
SP	ANO	Geodesy and Cartography	doktorský	Geodesy and Cartography	České vysoké učení technické v Praze	Fakulta stavební	3, 1	0732	4	angličtina		Stavebnictví 	100		0		0		0		0	Praha	11.2.2030
SP	ANO	Geodesy and Cartography	doktorský	Geodesy and Cartography	Vysoké učení technické v Brně	Fakulta stavební	3, 1	0532	4	angličtina		Stavebnictví 	100		0		0		0		0	Jihomoravský	8.10.2029
SO	NE	Geodézie a kartografie	bakalářský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	1	0731	4	čeština												Praha	31.12.2024
SO	NE	Geodézie a kartografie	doktorský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	3, 1	0731	4	čeština												Praha	31.12.2024
SO	NE	Geodézie a kartografie	navazující magisterský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	1	0731	2	čeština												Praha	31.12.2024
SO	NE	Geodézie a kartografie	bakalářský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	3, 1	0532	3	čeština												Jihomoravský	31.12.2024
SO	NE	Geodézie a kartografie	navazující magisterský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	1	0532	2	čeština												Jihomoravský	31.12.2024
SO	NE	Geodézie a kartografie	doktorský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	3, 1	0731	3	čeština												Jihomoravský	31.12.2024
SP	ANO	Geodézie a kartografie	bakalářský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	1	0732	3	čeština	akademicky zaměřený	Stavebnictví 	100		0		0		0		0	Praha	1.8.2029
SP	ANO	Geodézie a kartografie	doktorský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	3, 1	0732	4	čeština		Stavebnictví 	100		0		0		0		0	Praha	11.2.2030
SP	ANO	Geodézie a kartografie	navazující magisterský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	1	0732	2	čeština	akademicky zaměřený	Stavebnictví 	100		0		0		0		0	Praha	1.8.2029
SP	ANO	Geodézie a kartografie	bakalářský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	1	0532	3	čeština	akademicky zaměřený	Stavebnictví 	100		0		0		0		0	Jihomoravský	8.10.2029
SP	ANO	Geodézie a kartografie	doktorský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	3, 1	0532	4	čeština		Stavebnictví 	100		0		0		0		0	Jihomoravský	8.10.2029
SP	ANO	Geodézie a kartografie	navazující magisterský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	1	0532	2	čeština	akademicky zaměřený	Stavebnictví 	100		0		0		0		0	Jihomoravský	8.10.2029
SO	NE	Geodézie, kartografie a geoinformatika	bakalářský	Geodézie a kartografie	České vysoké učení technické v Praze	Fakulta stavební	1	0731	3	čeština												Praha	31.12.2024
SO	NE	Geodézie, kartografie a geoinformatika	bakalářský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	1	0532	3	čeština												Jihomoravský	31.12.2024
SO	NE	Geodézie, kartografie a geoinformatika	bakalářský	Geodézie a kartografie	Vysoké učení technické v Brně	Fakulta stavební	3	0532	3	čeština												Jihomoravský	31.12.2024
SP	ANO	Geoenvironmentální rizika a sanace	navazující magisterský	Geoenvironmentální rizika a sanace	Masarykova univerzita	Přírodovědecká fakulta	3, 1	0532	2	čeština	profesně zaměřený	Vědy o Zemi 	100		0		0					Jihomoravský	4.8.2034
SO	NE	Geofyzika	doktorský	Fyzika (čtyřletá)	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	čeština												Praha	31.12.2024
SO	NE	Geofyzika	doktorský	Fyzika (čtyřletá)	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1		4	čeština												Praha	31.12.2024
SO	NE	Geofyzika	doktorský	Fyzika	Univerzita Karlova	Matematicko-fyzikální fakulta	3, 1	0533	4	čeština												Praha	31.12.2024
SO	NE	Geofyzika	navazující magisterský	Fyzika	Univerzita Karlova	Matematicko-fyzikální fakulta	1	0533	2	čeština												Praha	31.12.2024
SP	ANO	Geofyzika a fyzika planet	navazující magisterský	Geofyzika a fyzika planet	Univerzita Karlova	Matematicko-fyzikální fakulta	1	0533	2	čeština	akademicky zaměřený	Fyzika	100		0		0		0		0	Praha	19.6.2029
SO	NE	Geografická kartografie a geoinformatika	bakalářský	Geografie a kartografie	Masarykova univerzita	Přírodovědecká fakulta	1	0532	3	čeština												Jihomoravský	31.12.2024
SO	NE	Geografická kartografie a geoinformatika	navazující magisterský	Geografie a kartografie	Masarykova univerzita	Přírodovědecká fakulta	1	0532	2	čeština												Jihomoravský	31.12.2024
SP	ANO	Geografická kartografie a geoinformatika	navazující magisterský	Geografická kartografie a geoinformatika	Masarykova univerzita	Přírodovědecká fakulta	1	0532	2	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0					Jihomoravský	4.8.2028
SP	ANO	Geografické informační systémy a dálkový průzkum Země v životním prostředí	bakalářský	Geografické informační systémy a dálkový průzkum Země v životním prostředí	Česká zemědělská univerzita v Praze	Fakulta životního prostředí	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100									Praha	22.3.2028
SO	NE	Geografie	bakalářský	Geografie a kartografie	Masarykova univerzita	Přírodovědecká fakulta	1	0532	3	čeština												Jihomoravský	31.12.2024
SO	NE	Geografie	bakalářský	Geografie	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0532	3	čeština												Ústecký	31.12.2024
SO	NE	Geografie	navazující magisterský	Geografie	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0532	2	čeština												Ústecký	31.12.2024
SO	NE	Geografie	bakalářský	Geografie	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	1	0532	3	čeština												Olomoucký	31.12.2024
SO	NE	Geografie	bakalářský	Geografie	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3	0532	3	čeština												Olomoucký	31.12.2024
SP	ANO	Geografie	bakalářský	Geografie	Ostravská univerzita	Přírodovědecká fakulta	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0					Moravskoslezský	16.10.2028
SP	ANO	Geografie	bakalářský	Geografie	Ostravská univerzita	Přírodovědecká fakulta	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0					Moravskoslezský	17.10.2028
SP	ANO	Geografie	bakalářský	Geografie	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Ústecký	17.12.2030
SP	ANO	Geografie	navazující magisterský	Geografie	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0532	2	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Ústecký	15.10.2029
SP	ANO	Geografie	bakalářský	Geografie	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Olomoucký	8.8.2028
SO	NE	Geografie (dvouoborové)	bakalářský	Geografie	Ostravská univerzita	Přírodovědecká fakulta	1	0532	3	čeština												Moravskoslezský	31.12.2024
SO	NE	Geografie (dvouoborové)	bakalářský	Geografie	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0532	3	čeština												Ústecký	31.12.2024
SP	ANO	Geografie a kartografie	bakalářský	Geografie a kartografie	Masarykova univerzita	Přírodovědecká fakulta	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0					Jihomoravský	4.8.2028
SP	ANO	Geografie a kartografie	bakalářský	Geografie a kartografie	Univerzita Karlova	Přírodovědecká fakulta	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Praha	27.5.2030
SO	NE	Geografie a kartografie (jednooborové)	bakalářský	Geografie	Univerzita Karlova	Přírodovědecká fakulta	1	0532	3	čeština												Praha	31.12.2024
SO	NE	Geografie a kartografie se zaměřením na vzdělávání	bakalářský	Geografie a kartografie	Masarykova univerzita	Přírodovědecká fakulta	1	0532	3	čeština												Jihomoravský	31.12.2024
SP	ANO	Geografie a kartografie se zaměřením na vzdělávání	bakalářský	Geografie a kartografie se zaměřením na vzdělávání	Masarykova univerzita	Přírodovědecká fakulta	1	0114	3	čeština	akademicky zaměřený	Učitelství 	50	Vědy o Zemi 	50		0					Jihomoravský	24.9.2028
SO	NE	Geografie a meteorologie pro obranu a bezpečnost	bakalářský	Technologie pro obranu a bezpečnost	Univerzita obrany	Fakulta vojenských technologií	1		3	čeština												Jihomoravský	31.12.2024
SP	ANO	Geografie a meteorologie pro obranu a bezpečnost	bakalářský	Geografie a meteorologie pro obranu a bezpečnost	Univerzita obrany	Fakulta vojenských technologií	1	0532	3	čeština	akademicky zaměřený	Vědy o Zemi 	67	Bezpečnostní obory 	33		0		0		0	Jihomoravský	15.9.2031
SP	ANO	Geografie a meteorologie pro obranu a bezpečnost	navazující magisterský	Geografie a meteorologie pro obranu a bezpečnost	Univerzita obrany	Fakulta vojenských technologií	1	0532	2	čeština	akademicky zaměřený	Vědy o Zemi 	80	Bezpečnostní obory 	20		0		0		0	Jihomoravský	23.6.2031
SO	NE	Geografie a regionální rozvoj	bakalářský	Geografie	Ostravská univerzita	Přírodovědecká fakulta	3, 1	0532	3	čeština												Moravskoslezský	31.12.2024
SO	NE	Geografie a regionální rozvoj	navazující magisterský	Geografie	Ostravská univerzita	Přírodovědecká fakulta	1	0532	2	čeština												Moravskoslezský	31.12.2024
SP	ANO	Geografie a regionální rozvoj	navazující magisterský	Geografie a regionální rozvoj	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0532	2	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Olomoucký	8.8.2028
SO	NE	Geografie pro veřejnou správu	bakalářský	Geografie	Jihočeská univerzita v Českých Budějovicích	Pedagogická fakulta	1	0532	3	čeština												Jihočeský	31.12.2024
SO	NE	Geografie pro veřejnou správu	bakalářský	Geografie	Jihočeská univerzita v Českých Budějovicích	Pedagogická fakulta	1	0532	3	čeština												Jihočeský	31.12.2024
SP	ANO	Geografie pro vzdělávání	bakalářský	Geografie pro vzdělávání	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0114	3	čeština	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Ústecký	17.12.2030
SP	ANO	Geografie pro vzdělávání	bakalářský	Geografie pro vzdělávání	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0114	3	čeština	akademicky zaměřený	Vědy o Zemi 	60	Učitelství 	40		0					Olomoucký	8.8.2028
SO	NE	Geografie se zaměřením na vzdělávání	bakalářský	Geografie	Technická univerzita v Liberci	Fakulta přírodovědně-humanitní a pedagogická	1	0588	3	čeština												Liberecký	31.12.2024
SO	NE	Geografie se zaměřením na vzdělávání	bakalářský	Přírodovědná studia	Západočeská univerzita v Plzni	Fakulta pedagogická	1	0588	3	čeština												Plzeňský	31.12.2024
SP	ANO	Geografie se zaměřením na vzdělávání	bakalářský	Geografie se zaměřením na vzdělávání	Univerzita Karlova	Přírodovědecká fakulta	1	0114	3	čeština	akademicky zaměřený	Vědy o Zemi 	75	Učitelství 	25		0					Praha	16.7.2028
SP	ANO	Geografie se zaměřením na vzdělávání	bakalářský	Geografie se zaměřením na vzdělávání	Západočeská univerzita v Plzni	Fakulta pedagogická	1	0114	3	čeština	akademicky zaměřený	Učitelství 	100		0		0		0		0	Plzeňský	2.10.2029
SO	NE	Geografie se zaměřením na vzdělávání (dvouoborové)	bakalářský	Geografie	Univerzita Karlova	Přírodovědecká fakulta	1	0532	3	čeština												Praha	31.12.2024
SO	NE	Geografie se zaměřením na vzdělávání (jednooborové)	bakalářský	Geografie	Univerzita Karlova	Přírodovědecká fakulta	1	0532	3	čeština												Praha	31.12.2024
SP	ANO	Geografie se zaměřením na vzdělávání pro střední školy	bakalářský	Geografie se zaměřením na vzdělávání pro střední školy	Jihočeská univerzita v Českých Budějovicích	Přírodovědecká fakulta	1	0114	3	čeština	akademicky zaměřený	Učitelství 	100		0		0		0		0	Jihočeský	16.11.2028
SO	NE	Geografie střední Evropy	bakalářský	Geografie	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	1	0532	3	čeština												Ústecký	31.12.2024
SP	ANO	Geografie transformací	doktorský	Geografie transformací	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	3, 1	0532	4	čeština		Vědy o Zemi 	100		0		0		0		0	Ústecký	16.7.2030
SP	ANO	Geographic information systems and Remote sensing in Environmental Sciences	bakalářský	Geographic information systems and Remote sensing in Environmental Sciences	Česká zemědělská univerzita v Praze	Fakulta životního prostředí	1	0532	3	angličtina	akademicky zaměřený	Vědy o Zemi 	100		0		0					Praha	23.3.2028
SP	ANO	Geographies of Transformations	doktorský	Geographies of Transformations	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Přírodovědecká fakulta	3, 1	0532	4	angličtina		Vědy o Zemi 	100		0		0		0		0	Ústecký	16.7.2030
SP	ANO	Geography and Cartography	bakalářský	Geography and Cartography	Univerzita Karlova	Přírodovědecká fakulta	1	0532	3	angličtina	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Praha	27.5.2030
SP	ANO	Geography Education	doktorský	Geography Education	Masarykova univerzita	Pedagogická fakulta	3, 1	0111	4	angličtina		Učitelství 	100		0		0					Jihomoravský	18.3.2029
SP	ANO	Geography of Global Environmental Change	navazující magisterský	Geography of Global Environmental Change	Masarykova univerzita	Přírodovědecká fakulta	1	0532	2	angličtina	akademicky zaměřený	Vědy o Zemi 	100		0		0		0		0	Jihomoravský	5.12.2028
SO	NE	Geoinformatics	bakalářský	Geodézie a kartografie	Vysoká škola báňská – Technická univerzita Ostrava	Hornicko-geologická fakulta	3, 1	0731	3	angličtina												Moravskoslezský	31.12.2024
SO	NE	Geoinformatics	doktorský	Geodézie a kartografie	Vysoká škola báňská – Technická univerzita Ostrava	Hornicko-geologická fakulta	3, 1	0731	3	angličtina												Moravskoslezský	31.12.2024
SO	NE	Geoinformatics	navazující magisterský	Geodézie a kartografie	Vysoká škola báňská – Technická univerzita Ostrava	Hornicko-geologická fakulta	3, 1	0731	2	angličtina												Moravskoslezský	31.12.2024
SO	NE	Geoinformatics	navazující magisterský	Geodézie a kartografie	Vysoká škola báňská – Technická univerzita Ostrava	Hornicko-geologická fakulta	3, 1	0731	2	angličtina												Moravskoslezský	31.12.2024
SO	NE	Geoinformatics	doktorský	Geodesy, Cartography and Geoinformatics (čtyřleté)	Vysoká škola báňská – Technická univerzita Ostrava	Hornicko-geologická fakulta	3, 1		4	angličtina												Moravskoslezský	31.12.2024
SP	ANO	Geoinformatics	doktorský	Geoinformatics	Vysoká škola báňská – Technická univerzita Ostrava	Hornicko-geologická fakulta	3, 1	0532	4	angličtina		Vědy o Zemi 	100		0		0		0		0	Moravskoslezský	19.4.2031
SO	NE	Geoinformatics and Cartography	doktorský	Geography	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0532	4	angličtina												Olomoucký	31.12.2024
SP	ANO	Geoinformatics and Cartography	bakalářský	Geoinformatics and Cartography	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	3, 1	0532	3	angličtina	akademicky zaměřený	Vědy o Zemi 	100		0		0					Olomoucký	8.8.2028
